keywords,cluster_number
Long short term memory network,29
Visual exploration,3
HSV colour specification,13
On-line labs,42
Geological forecast,3
PVTX data,45
Enumeration algorithm,19
Geological volume data,45
Gold deposits,38
Temperature distribution,35
Signal,41
Extreme Learning Machine,6
Geocorrection,2
Geometry element,4
Shallow water equations,24
Heavy mineral,38
Recurrence relations,32
Infiltration,47
Gravity anomaly inversion,39
Geological corpus,3
Amdahl's Law,16
MORB,2
Closed Polygonal Boundary,33
Cooling history,29
Energy minimization,48
Shoreline dynamics,14
Remotely sensed image,18
Text editor,6
Education standards,6
Intensive variable diagrams,48
Trishear,2
Megadunes,2
GPGPU,2
Thiessen polygon,4
Connectedness,48
Small sample size,29
Sierra Alhamilla,34
Model discrimination,23
Sodalite synthesis,13
Coastal,14
Glacier topography,25
Local surface interpolation,33
Tonalite,36
Run-up,2
Leaky,33
Oil production forecasting,38
Neural,1
ODBMS,2
Surface front,33
Intersection,29
Drainage,24
Image editing,18
Spectral Element Method,10
Complexity,48
MultiPatch,2
Injection sites,16
Muscovite,36
Grade estimation,7
Distance learning,6
Anatexis,2
Fourier transform,29
Shear-wave splitting,29
Macroseismic field,29
Efficient programming,6
Intrinsic random fields of order,48
Mineral prospectivity prediction,38
Density-based spatial clustering of application with noise,48
Automated procedure,16
/ diagrams,8
Depression,32
Physical constraint,32
Sr-87/Sr-86,2
Immersion test,42
Spectral finite element method,48
Dimensionality,4
Geotherms,2
Raster data,45
Back-propagation neural networks,1
Event detection,17
Generative adversarial network,48
Multicore,9
Linearized inversion,11
Domain deformation,5
Grain coarsening,32
Synthetic images,18
Metallurgical recovery,38
Structure contours,33
Chinese word segmentation,34
Geochemical analysis,37
Multiquadric,2
Near-real time,29
Potential field inversion,29
Compact database,12
Recursive ordinary Kriging,11
Steady-state solver,13
Contaminant,35
Piston flow,47
Standard deviation,7
Weak strip,29
Coactive neuro-fuzzy inference system (CANFIS).,16
Subset separation,48
GeoTools,2
CO geological storage,3
Classification trees,7
Water-rock reactions,32
P-wave tomography,28
3-D symbol library,16
Tetrahedra,4
Unphysical interactions,48
Streamflow forecasting,24
Cation-site assignments,6
Prediction area (P A) plot,20
Conformai projection,7
Oscillating constituents,29
Anti-aliasing filter,47
Dynamic light change,32
Mathematical morphology,11
Flood detection,17
Grid,9
Fault network,16
Parametric statistics,45
Orthographical net,29
Overland unsteady flow,47
Autoregressive neural network,1
Plumes,40
Internet protocol (IP),16
Carbonate platform cycles,33
FEM/FVM/FDM,2
Mixtures of distributions,0
Geomagnetic instrumentation,41
Two dimensional,29
Conditional unbiasedness,7
Hydrogeological map,8
Weather stations,29
Change of support,32
Data management,45
Ternary solutions,13
Logical modeling,26
(0,2
Parameter sampling,11
Turbidity current,24
Grain object detection,17
Hydrocarbon cross plots,38
Humus,35
C#,2
Thermoelectrical potential,29
Spatiotemporal feature detection,17
Wireless sensor network,41
Mine evaluation,38
Tucker tensor decomposition,35
Surface runoff,35
Aquifer tests,24
TurboPFOR,2
Fault scarp dating,33
Quartz,36
Microbiological water quality,35
HPX,2
Stoichiometry,0
Estuaries,14
Void ratio,7
fO-meters,2
Geovisualization,2
Streak artifacts,29
Feature recognition,29
Spherical sequential simulation,4
Finite difference modeling technique,48
Land use/cover classification,7
MATLAB application,21
DEM/DTM,2
Uninvaded zone,29
Canadian Shield,34
Fluorescence spectroscopy,28
Micro-resistivity data,45
Model integration,23
Self-organizing map,8
Computerized data,45
Mid-ocean ridge,25
Ocean model,23
Coding method,10
Self-similar,2
Kmz,2
Free energy minimization,29
Indicator variogram,7
2D resistivity imaging,31
Jeffery's theory,48
Map matching,8
Mixing cell model,23
Counter-point bar,29
Finite strain,32
Monthly total ozone,35
Topography,20
SWAT,29
Correlation coefficient matrix,11
Normal probability plot,7
Network adjustment,32
Topological analysis,22
Glacier surging,25
Geologic body,3
Hierarchical pyramid,48
Radiometric normalization,37
Homogeneous finite slope,33
Canning Basin,24
X-Ray fluorescence,28
Fractal dimension estimator,11
Harmonisation,2
Optical character recognition,48
Hack index,7
Volcanic ash forecast,40
Emissions inventory,35
Bioturbation,2
Complex pattern,48
TM-71,2
Pfaltz-graph,2
Computer-assisted learning,6
Citizen science,6
Object-oriented segmentation,13
Stratigraphic zones,37
Shape-fabric,2
Geo-data-server,2
Terrain data,45
Discretization scheme,16
Moving-window statistics,45
Polarized light microscopy,28
Sequential modeling,26
Paleoecology,3
Time-series,2
Cartesian grid,9
Internet GIS,34
IBM PC,21
Azimuth,37
Geomedia,2
Magnetic field data,39
Partial-bounceback,2
Detrend,2
Spatial cross-validation,27
Structural trend,32
Medial Axis Transform,48
Kohonen,2
Particle,0
Uncertain data,45
Stratum differentiation,48
(Geo)chemical modeling,26
Inter-tidal zones,29
Net primary productivity,29
Vulnerability,46
Occurrence models,23
Gas analyzer,41
Smartphone application,6
Service chain,16
Multiple inverse method,11
Spatial facieses simulation,27
Horton analysis,22
Regridding,2
Riparian extent,24
Levenberg Marquardt back propagation,29
Heat transfer equation,32
TSAR model,23
Raman analysis,22
ReVA,2
Fourier transforms,48
Crustal deformation,36
GIS based MCDA,34
Geo-information processing service composition,16
Histograms,11
Multi-criteria decision,32
Indicator cokriging,7
Watershed transformation,32
Receiver functions,16
Continuity paths,48
Sedimentary basins,36
Risk probability,7
Convergence,32
MAUP,2
Aquifer porosity,24
Geospatial web service,12
FREEWAT,2
Mineral-growth rates,7
Rock typing,33
Earthquake early warning,44
Surface velocity,30
Neuro-fuzzy,2
Generalized least squares,29
Conditional Simulation,15
Optical properties,41
Effective physical properties,29
Component software,16
Riverscape,29
Semantic heterogeneity,12
Spatiotemporal thinking and computing,9
Spatial information,27
Beach monitoring,14
3D gravity inversion,31
Excel spreadsheet,6
Virtual worlds modelling,2
Covariance calculation,11
Uncertainty,32
Multi-attribute analysis,22
Watershed management,24
Combined variance,7
Environmental parameters,7
Physiological tolerances,0
Camera noise,41
SAFOD core,48
System dynamics,16
Unigram language model,23
Foam cover,33
Soil water retention curve,35
Time-dependency,2
Edge-based finite element method,10
Mode mixing,48
Cloud analysis,22
Wavelet transformations,48
Magnetotelluric,41
FEFLOW,2
Regular units,29
Typhoon,44
SIFT,29
Multi-copy approach,10
Ensemble Kalman filter technique,48
Time scale dependence,32
Cross-association of events,29
Generalization error,46
Geomodel,2
Lithology identification,37
Lorenz-63,2
Hydrocarbon recovery,38
Massive dataset,45
GEON,34
Model spin-up,43
Microseismic,37
MODFLOW,2
Digital terrain model,23
Bibliographic data,45
User-friendly,2
Spatial data types,27
Dual porosity,0
Phase transitions,32
Temperature,35
Subsidence trough,24
BBM,34
Magnetics,37
Petrographic information system,16
Discrete smooth interpolation,4
UML language,6
Intrinsic hypothesis,48
Lake Ontario Lowlands,25
Groundwater spatial modeling,26
Discharge coefficient,0
Finite-element,2
Numerical modeling,26
Quantitative statistical methodology,22
Computer modeling,26
Quality weighted interpolation,7
Hydrological response,24
Semi-automatic parameter extraction,11
Population dynamics,32
Perspectives,48
Fortran program,16
PMPATH,2
Heterogeneous strain,9
Lake,24
CUBE,4
decomposition,35
Explicit and implicit numerical scheme,48
Independent component analysis,22
Unstructured grids,9
Surface modeling,26
Magmatic fractionation,36
Indexing,12
Barrage operation,29
Partial coverage,29
Nonlinear least squares,48
Tsunami,44
Surface urban heat island,33
Valley setting,29
Flat resolution,29
Pumping tests,42
VORIS,2
Stream network extraction,16
Glaciers,25
Water saturation,35
Metadata tracking,12
Debris-flow simulation,15
Environmental archives,16
Software stress test,42
Stratigraphic sections,37
Radar images prediction,18
Seismic reflection profiles,44
Customizing GIS,6
Mohr circle,29
Contacts,16
Seismic waveform analysis,44
Pole-searching algorithm,19
R programming,6
Sedimentary system,36
Hypermap,2
Labrador Shelf,29
General,29
Land use change,29
Geologic model,3
Irregularly spaced data,45
Massively parallel computing,9
Pore-scale image-based modeling,26
Topographic map data,8
Quantitative color,48
Computational method,10
Wet-chemical,2
Reference frame transformation,32
Dominant variables,7
Loss function,32
Geothermal reservoirs,24
Mixed hydrate,35
Height datum transfer across seas,29
Data storage,45
Progressive multi-channel correlation,7
Binary space partitioning,9
Tree rings,29
Down-scaling,2
Box-counting dimension,48
Rényi entropy,0
Vertical fault,33
JavaScript,21
3-D sedimentary basin,36
Maximum independent set,29
Cyclostratigraphy,2
Dense material,33
Probability prediction,7
High performance,29
GNSS GPS satellite geodesy,41
Abandoned underground coal mine,38
Frasnian,2
Semisupervised,2
S-transform,2
Kerberos,21
Finite-difference method (FDM),10
IDW,34
Box method,10
Mean salt method,10
Well placement,29
Automatic image analysis,18
Regression models,23
Airborne hyperspectral sensors,41
Space geodesy,20
Bubble point pressure,29
Fabric Analyser,33
Shoreline,14
Mexico,34
Clockwise,4
Gas partial pressures,32
Replication management,16
Finite line-source model,23
Resultant length,29
Peak libraries,29
Alkaline flooding,35
Motion estimation,7
Finite differences methods,48
Global optimizing,13
Colorimetric,0
Geosphere,48
Pressure,32
Long-term morphodynamics,2
Documentary sources,29
Geospatial service,12
Focal mechanisms,48
Landscape characterization,48
Spearman rank correlation,7
Space time random field,29
Categorical variables,11
QuickBasic,2
Planar structure,4
Dune dynamics,14
Instructional,6
Geoinformation,20
Natural persistent scatterer,29
Web-based GIS,34
Online,6
Process simulation,15
In transit data analysis,45
Flood forecasting,20
Greenland,29
Log data,45
Recursion relations,48
Quantitative petrography,22
Civil protection,29
Linear structures,4
Modeling frameworks,26
Pinhole model,23
Non-homogeneous recurrence relations,32
JAMA,34
Mineral assemblages,38
Heterogeneous computing,9
Susceptibility assessment,22
Deepwater-reservoir modeling,26
Derivative analysis,22
Data processing,45
Norm,7
Maple,33
Sensor view angle,41
Ocean modeling,26
Calcite twins,33
Data retrieval,45
Point segmentation,48
Synchrotron x-ray microprobe,28
Sandwaves,2
Pixel resolution,18
Errors,46
Rivers,24
Orthopyroxene,2
Depth/age curve,30
Self organizing maps,20
Iterative algorithms,19
EXCEL,6
Graphical user interfaces,13
Favorability mapping,20
Lumped models,23
Mobile mapping,20
Elastic lattice method,4
Soil-water dynamics,32
Data density estimation,45
Smoothing parameter,11
Electric field gradients (EFGs),33
Higher education,6
Three Gorges,25
Mediterranean,34
Parallel parameter search,48
Remote-sensing.,2
Sum of angles method,10
Cloud computing,9
Multiple-point simulation,15
Permeability tensor,0
Spatial decomposition,27
Cheshire basin,24
Phase velocity dispersion curve,30
Intrinsic permeability,0
Object oriented programming,6
Ill-conditioned matrix,11
AFC processes,16
Seismic response,44
MATLAB tool,21
Cell,1
Elliptical-shaped targets,7
Aero-geophysical data,45
Sensitivity analysis,22
ESML,2
Parabolic model,23
Instrumental geochemical analysis,37
Missing data,45
Wavelet analysis,22
Ecohydrology,2
Water resource management,16
"1:1,000,000 soil database of China",16
Characteristic scale,48
Surface displacement,33
Shield fields,29
Reflection seismic data,44
GNU Octave,21
Ambient occlusion segmentation,13
Piecewise,2
Deformation modeling,26
Spatial data density analysis,27
START,29
Deep-sea records,45
Crustal structure,36
Sea level change,32
HO NaCl,2
Internet,6
Spatial distribution,27
Triangular fuzzy set modeling,29
Radial point interpolation,4
Binary search,12
Serial lapping,29
River bathymetry,14
Volcanic eruptions,40
Archie parameters,48
computer assisted,6
S-phase picker,29
Database kernel system,12
Minimum Description Length,7
Gauss Newton,2
Minimum data event distance,29
Geographically weighted regression,7
Point spread function,29
Porphyroblast,2
Source rock,33
Methane,35
Planning,16
Fractured aquifers,24
THMC,2
Spatial correlation,27
Transient response inversion,48
Virtual observatories,41
Life-cycles models,43
Analytical solution,22
L-BFGS method,10
Petroleum engineering,38
Trajectory model,23
Spatial enhancement,27
Listserv,5
Unevenly sampled data,45
Ternary feldspar,36
Hydrothermal systems,36
Analytical and FDM solution,22
Databases,12
Infrasound,41
Digital mono-plotting,6
Field data,45
Reactive transport model,23
Buffering-based approach,10
SBDART model,43
Microsoft ACCESS,21
Object-based classification,7
Simulation path,15
Plot programs,16
Particle sizing,0
SeisElastic2D,2
High-resolution scanner,17
